Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_137_494,VGND,li1,233.2200,386.2400,0.000279
FILLER_137_491,VGND,li1,232.0700,386.2400,0.000279
FILLER_137_461,VGND,li1,218.2700,386.2400,0.000273
FILLER_137_458,VGND,li1,216.8900,386.2400,0.000269
FILLER_137_455,VGND,li1,215.5100,386.2400,0.000269
FILLER_137_452,VGND,li1,214.1300,386.2400,0.000266
FILLER_137_449,VGND,li1,212.7500,386.2400,0.000263
FILLER_137_446,VGND,li1,211.1400,386.2400,0.000260
FILLER_137_443,VGND,li1,209.9900,386.2400,0.000260
FILLER_137_440,VGND,li1,208.6100,386.2400,0.000257
FILLER_137_393,VGND,li1,186.7600,386.2400,0.000190
FILLER_137_391,VGND,li1,185.6100,386.2400,0.000190
FILLER_137_388,VGND,li1,184.6900,386.2400,0.000180
FILLER_137_385,VGND,li1,183.3100,386.2400,0.000180
FILLER_137_367,VGND,li1,174.8000,386.2400,0.000184
FILLER_137_337,VGND,li1,160.7700,386.2400,0.000285
FILLER_137_331,VGND,li1,158.0100,386.2400,0.000299
FILLER_137_304,VGND,li1,146.0500,386.2400,0.000363
FILLER_137_278,VGND,li1,133.8600,386.2400,0.000408
FILLER_137_257,VGND,li1,124.2000,386.2400,0.000429
FILLER_137_228,VGND,li1,110.8600,386.2400,0.000432
FILLER_137_225,VGND,li1,109.7100,386.2400,0.000430
FILLER_137_206,VGND,li1,100.7400,386.2400,0.000419
FILLER_137_172,VGND,li1,85.1000,386.2400,0.000376
FILLER_137_169,VGND,li1,83.9500,386.2400,0.000366
FILLER_137_166,VGND,li1,82.3400,386.2400,0.000366
FILLER_137_141,VGND,li1,70.6100,386.2400,0.000311
FILLER_137_138,VGND,li1,69.6900,386.2400,0.000311
FILLER_137_113,VGND,li1,57.7300,386.2400,0.000251
FILLER_137_99,VGND,li1,51.7500,386.2400,0.000218
FILLER_137_96,VGND,li1,50.3700,386.2400,0.000204
FILLER_137_93,VGND,li1,48.9900,386.2400,0.000194
FILLER_137_90,VGND,li1,47.6100,386.2400,0.000194
FILLER_137_87,VGND,li1,46.2300,386.2400,0.000181
FILLER_137_84,VGND,li1,44.8500,386.2400,0.000170
